"Edition"	"Sport"	"Gender"	"c"
"1900"	"equestrian"	"men"	4
"1900"	"sailing"	"men"	9
"1900"	"tennis"	"men"	1
"1900"	"tennis"	"women"	1
"1908"	"sailing"	"men"	22
"1908"	"skating"	"men"	1
"1908"	"skating"	"women"	1
"1912"	"equestrian"	"men"	11
"1912"	"sailing"	"men"	26
"1912"	"tennis"	"men"	2
"1912"	"tennis"	"women"	2
"1916"	NA	"men"	0
"1920"	"equestrian"	"men"	16
"1920"	"sailing"	"men"	58
"1920"	"sailing"	"women"	1
"1920"	"skating"	"men"	1
"1920"	"skating"	"women"	1
"1920"	"tennis"	"men"	1
"1920"	"tennis"	"women"	1
"1924"	"equestrian"	"men"	10
"1924"	"sailing"	"men"	9
"1924"	"tennis"	"men"	1
"1924"	"tennis"	"women"	1
"1928"	"equestrian"	"men"	12
"1928"	"sailing"	"men"	5
"1928"	"sailing"	"women"	1
"1932"	"equestrian"	"men"	9
"1932"	"sailing"	"men"	19
"1936"	"equestrian"	"men"	13
"1936"	"sailing"	"men"	14
"1940"	NA	"men"	0
"1944"	NA	"men"	0
"1948"	"equestrian"	"men"	12
"1948"	"sailing"	"men"	13
"1952"	"equestrian"	"men"	12
"1952"	"sailing"	"men"	14
"1952"	"sailing"	"women"	1
"1956"	"equestrian"	"men"	12
"1956"	"equestrian"	"women"	3
"1956"	"sailing"	"men"	10
"1960"	"equestrian"	"men"	9
"1960"	"sailing"	"men"	10
"1964"	"equestrian"	"men"	12
"1964"	"sailing"	"men"	10
"1968"	"equestrian"	"men"	11
"1968"	"equestrian"	"women"	1
"1968"	"sailing"	"men"	10
"1972"	"equestrian"	"men"	10
"1972"	"equestrian"	"women"	4
"1972"	"sailing"	"men"	12
"1972"	"shooting"	"men"	8
"1976"	"equestrian"	"men"	11
"1976"	"equestrian"	"women"	3
"1976"	"sailing"	"men"	9
"1976"	"shooting"	"men"	7
"1980"	"equestrian"	"men"	22
"1980"	"equestrian"	"women"	2
"1980"	"sailing"	"men"	9
"1980"	"shooting"	"men"	7
"1984"	"equestrian"	"men"	12
"1984"	"equestrian"	"women"	3
"1984"	"sailing"	"men"	9
"1984"	"shooting"	"men"	2
"1988"	"equestrian"	"men"	11
"1988"	"equestrian"	"women"	4
"1988"	"sailing"	"men"	9
"1988"	"shooting"	"men"	2
"1992"	"equestrian"	"men"	10
"1992"	"equestrian"	"women"	5
"1992"	"sailing"	"men"	9
"1992"	"shooting"	"men"	1
"1992"	"shooting"	"women"	1
"1996"	"badminton"	"men"	1
"1996"	"badminton"	"women"	1
"1996"	"equestrian"	"men"	10
"1996"	"equestrian"	"women"	5
"1996"	"sailing"	"men"	8
"2000"	"badminton"	"men"	1
"2000"	"badminton"	"women"	1
"2000"	"equestrian"	"men"	10
"2000"	"equestrian"	"women"	5
"2000"	"sailing"	"men"	10
"2004"	"badminton"	"men"	1
"2004"	"badminton"	"women"	1
"2004"	"equestrian"	"men"	12
"2004"	"equestrian"	"women"	4
"2004"	"sailing"	"men"	5
"2008"	"badminton"	"men"	1
"2008"	"badminton"	"women"	1
"2008"	"equestrian"	"men"	8
"2008"	"equestrian"	"women"	7
"2008"	"sailing"	"men"	5
"2012"	"badminton"	"men"	1
"2012"	"badminton"	"women"	1
"2012"	"equestrian"	"men"	10
"2012"	"equestrian"	"women"	5
"2012"	"tennis"	"men"	1
"2012"	"tennis"	"women"	1
"2016"	"badminton"	"men"	1
"2016"	"badminton"	"women"	1
"2016"	"equestrian"	"men"	9
"2016"	"equestrian"	"women"	6
"2016"	"sailing"	"men"	1
"2016"	"sailing"	"women"	1
"2016"	"tennis"	"men"	1
"2016"	"tennis"	"women"	1
